fecha	titulo	repos	estado	categoria	detalle_final	pendiente	out_tokens	cache_read	modelo
2026-07-24	Historial de notificaciones	presupuesto-ar	REVIEW_READY	review_ready	deployed v172: today/overdue sort + badge hides when read		42965	6546910	claude-opus-4-8
2026-07-23	Mensaje de compartir nota de visita	presupuesto-ar	REVIEW_READY	review_ready	3 changes deployed to main (v170): dedup share text, clean maps URL, optional visit title		21605	2365791	claude-opus-4-8
2026-07-23	Banner de detalles climáticos	presupuesto-ar	COMPLETED	need_input	¿Querías la Weather API de Google por algún dato puntual que sentís que falta, o era más curiosidad?	¿Querías la Weather API de Google por algún dato puntual que sentís que falta, o era más curiosidad?	67107	7110095	claude-opus-4-8
2026-07-22	Notas especiales para evaluaciones y presupuestos	presupuesto-ar	COMPLETED	review_ready	client enrichment on visit save: phone + location now persisted		77454	17134845	claude-opus-4-8
2026-07-21	Análisis de desplazamiento en la app	presupuesto-ar	REVIEW_READY	review_ready	tab wrap implemented & deployed (v164); Facturas↔Editor circular swipe		57137	6731692	claude-opus-4-8
2026-07-21	Fecha de presupuesto desactualizada	presupuesto-ar	REVIEW_READY	review_ready	weather chip wrapping fixed; amber bg now covers all text		59457	10038651	claude-opus-4-8
2026-07-20	Compartir imagen de presupuesto lento	presupuesto-ar	REVIEW_READY	review_ready	share bug fixed (two-tap flow + fallback); deployed to prod		18007	1691900	claude-opus-4-8
2026-07-20	Opción para evitar cierre en segundo plano	presupuesto-ar	REVIEW_READY	review_ready	option 3 deployed to main: deferred Google init + silent 401 retry				claude-opus-4-8
2026-07-20	Numeración plan de trabajo	presupuesto-ar	COMPLETED	review_ready	plan de trabajo now numbered in PDF/editor; CSS counter + <ol>; v151 deployed				claude-opus-4-8
2026-07-20	Anotaciones en edición de presupuestos	presupuesto-ar	COMPLETED	review_ready	badge CSS bug fixed (v150 deployed); hidden attr now works				claude-opus-4-8
2026-07-16	Swipe actions for task completion	presupuesto-ar	REVIEW_READY	review_ready	Google Calendar sync confirmed live; all events synced				claude-opus-4-8
2026-07-15	Neon for future projects	presupuesto-ar,pruevacero,stockvendedor,stockmerger,ArborRisk	COMPLETED	need_input	¿Querés que te lo deje anotado en algún `CLAUDE.md` como decisión tomada, para no volver a evaluarlo cada vez?	¿Querés que te lo deje anotado en algún `CLAUDE.md` como decisión tomada, para no volver a evaluarlo cada vez?			claude-opus-4-8
2026-07-15	Quick client chat access and customer imports	presupuesto-ar	COMPLETED	review_ready	3 features deployed: contact import + client dropdown + note editing				claude-opus-4-8
2026-07-14	App security audit	presupuesto-ar	REVIEW_READY	review_ready	M3 perf: renderHistory 145→27ms, debounce search, lazy-render months		139452	38161169	claude-opus-5
2026-07-14	App audit prompt	presupuesto-ar	REVIEW_READY	review_ready	audit prompt created at docs/prompt-auditoria.md, committed to main				claude-fable-5
2026-07-13	PruebaCero quality audit	pruevacero	REVIEW_READY	review_ready	5 fixes verified + 138 auto checks; app live v20260714-015506				claude-fable-5
2026-07-12	Animated tactical board for training	pruevacero	COMPLETED	review_ready	media luna del área corregida y publicada en vivo				claude-fable-5
2026-07-10	Player position menu expansion	pruevacero	COMPLETED	review_ready	midfielders now support 6 role variants (recovery/creation ± left/right); deployed live				claude-opus-4-8
2026-07-10	Calendar phase 2/3 functions	presupuesto-ar	COMPLETED	review_ready	deployed v135 to production; Mes + Week views polished				claude-opus-4-8
2026-07-10	In-app calendar feature analysis	presupuesto-ar	COMPLETED	review_ready	Phase 2 pending work documented in docs/agenda-roadmap.md				claude-opus-4-8
2026-07-10	Sport shoe app icon	pruevacero	COMPLETED	review_ready	zapatilla completa y centrada; nuevo icono en producción				claude-opus-4-8
2026-07-10	Multiple jobs same location UX	presupuesto-ar	COMPLETED	review_ready	estimativos marked + sorted to end of 'Sin ubicar' list				claude-opus-4-8
2026-07-09	Map marker view option	presupuesto-ar	COMPLETED	need_input	¿Querés que revise algún presupuesto en particular contra su PDF, o que ajuste algún estado antes de que lo importes?	¿Querés que revise algún presupuesto en particular contra su PDF, o que ajuste algún estado antes de que lo importes?			claude-opus-4-8
2026-07-09	Budget locations map	presupuesto-ar	COMPLETED	need_input	¿Seguimos con algo más?	¿Seguimos con algo más?			claude-opus-4-8
2026-07-09	Prueba cero continuation	pruevacero	COMPLETED	review_ready	pencil z-index bug fixed & deployed; SW stamp queued				claude-opus-4-8
2026-07-07	Multi-day job scheduling	presupuesto-ar	COMPLETED	review_ready	Lucide icons documented at index.html (lines 2335, 113, 3738)				claude-opus-4-8
